id,versek
3,folyam kebled hányszor repeszti hajó futása dúló fergeteg seb hosszu seb mély szíven vág szenvedély elmegy fergeteg hajó seb begyógyul emberszív megreped balzsam hegessze sebet 
17,'pajtás ettél véres fogad szenvedünk éhségi kínokat mogorva tél puszta határ vihar légparipája ember állatnak nyoma beszélj lakoma kérdi társát farkassereg érkezéskor üdvezeltenek jóllakott késik szólani tőle beszédet hallani vityilló pusztaközepen él juhász felesége benn ház mögött terűl ól honnan juhoknak bégetése szól lakhoz éjszakának idején útazó suhant úrfi pásztornéra titkon foga fájt úrfinak éhezém nyájt sompolygott ő kunyhó juhot kaptam megettem 
23,kakasszóra hajnal ébred lányokkal beszélek szólok őhozzájok hajnal orcájok gondolná kakas kakas hamis madár untalan fészekhez kakas filemile fészkem párom egyért élek világon 
28,költő sorsharag anyaméhből született ikertestvérek voltak bolygák életet fa virúlt árnyában megnyúgodott használt költőnek ágáról tört koldúsbotot ezek valának társai koldúsbot sorsharag elhagyja hűtlenűl kettő hű lantja lantja lőn hisz költőnek lantja igen lantja zenge bűvösbájosan megpenditette húrjait mennydörgő éjben egykoron mennydörgésnek ágyuja elszenderűlt hangokon ég barna haragos danáját hallaná feledni kezdé boszút csillagmosollyal néze költő megéhezett emberek közé mene tudá emberszív kemény vélte lágyit zene vihart elaltatá földeríté eget elandalító húrjain ének zenegett ég vihar megért dalt ember érti lant elszégyenűl fájdalmában kettéreped lant története költőbül nyögé tudni inségterhes életet újabb nemzedék évek multán megjelenék őszült ő fürteit gond bú kitépte rég garast garast halk hangja esedeze szélringatta száraz ág remegve nyúlt keze részvét megkérdezte 'ki nyomornak embere sujtoló istenharag könyöretlen megvere nevét elmondja esd garast 'megállj jövel örök dicsőség gyermeke bőség szarva födjön neved ragyog ég csillagsugáros éjfelen árván hangozék bámulja lantod jelen jövel jövel cserélj bársonyt koldusrongy borostyán koronázza főd dús asztalnál helyed o beszéd o köszönet éhezem szükség reá elcseréljem rongymezem borostyán lángifjunak száraz törzsön galyok fogamszanak dobsz garast fogaddsza hálaszózatom pénzre vár asztalos koporsómat csináltatom 
57,deresre huzzák gazembert bünét botokkal róni lopott rabolt tudj' ördög mívele ő kiált ellenszegűlve nyúljatok nemes nemesembert botozni jogotok hallottad szót meggyalázott ősének szelleme húzni deresre akasztófára kellene 
59,ejnye istennyila üres ládafia üres ihatnám száraz kút gégém csapja süti szomjuság napja meggyul boreső hull hm biz tréfa felhőből folyna boreső bökkenő szőlőben határom eladtam tavaly nyáron ára garatomon lejára kocsmából kikopott emberségem addsza szépen főznek valami jutott eszembe zálogúl teszem hitvesem fejkötője hisz sírba zártam szerelmetes hitestársam véle nyúgoszik fejkötője emlékezem halálodra kedvesem könny gördül azonnal szemembül könnyeimnek árja uram bocsá' borrá válna többet sírnék 
69,térsz eszedre sándor tivornya éjjeled napod istenért hisz ördög elvisz folytatod szeretetreméltó barátom nézd tűkörben magadat ember látsz mennykő tükröd kisértetet mutat fiú okosabb szedd rendbe rendtelen életedet hidd kedves pajtásom ember korhelység ellehet naponként messzely borocska hiszem untig szerelmet illeti jobb szeretők feleség beszélek beszéltem messzely borocska feleség feleség messzely bor no hisz csupán kellene o rendes élet időnek megölne költő költőileg végigrohannom életuton 
77,borozgatánk apámmal ivott öreg kedvemért isten áldja otthon rég láta megvénült hja idő lejár beszéltünk erről nyelvünkre jött szinészetről egyéb szemében mesterségem szálka előitéletét évek szünteték no hitvány élet komédia fülemnek dicsérést kellett hallgatnia koplaltál mutatja szined szeretném látni hánysz bukfenceket műértő beszédit mosolygva hallgatám ő makacs fej világosíthatám továbbá elszavaltam bordalom neki örültem megnevetteti ő tartja nagyra költő fia ilyes haszontalan csodálni húsvágáshoz ért hajszála hullt tudományokért bornak edénye kiürűlt írogatni kezdtem ő nyugonni dűlt száz kérdéssel állott anyám felelnem kelle irást hagyám vége hossza kérdezgetésinek kérdések estenek tükör láthatám földön legszeretőbb anyám 
86,csehül mellem szorúl megfulok szivem táján valami rág belőled árnyékvilág aligha patkolok hányszor kivántam halált közeleg lehele olyanformán vele mesében öreg halál élet nála többet ér béke bú vígadás kéjében pezsg vér elhagyok örömeket fájdalmakat gomblyukamban virág zöldül világ sirom halmán fakad fiúk barátság lánca köt kikkel éjszakát fölségesen virasztok gyászoltok halott mondom társaim gyászoljatok természetünktől elüt tudjátok velem víg fickók voltatok legfölebb állotok sirom vigan hangoztassátok holt cimborátok dalait múlt idők emlékeűl 
87,meghalok leszen kő síromon fejfa jel ahová teszik porom megkövűl kín elhat lelkemig alacsony sirom piramíd emelkedik 
93,diligenter frequentáltam iskoláim egykoron secundába ponált szamár professorom poesisból ebbe estem inter alia absurdum kelljen állnia obliviscálnak occasióm akadt kutyáliter infestáltam dominusokat egynek plane no minthogy szerelemhistória jobb in aeternum sub rosa maradnia denique közöttünk sine fine folyt per consilium abeundi vége breviter ergo mentem vagáltam hazában szanaszét verte tandem bal combom kard azaz panganét 
